HOZ,VERT,X,Other,thing,Kind,Worry,Type
138.8101983,10152.58269,0.66969147,5.545,3.291,2.704,5.111,1
141.1237016,10163.42979,0.539927405,5.678,3.258,2.129,5.351,1
126.9121813,10143.905,0.607985481,5.585,3.272,3.975,5.144,1
171.529745,10180.78516,0.764065336,5.674,3.434,5.593,5.136,1
128.8951841,10159.09095,0.414700544,5.715,3.113,4.116,5.396,1
123.6071766,10135.22731,0.680580762,5.504,3.199,3.328,5.224,1
129.8866856,10158.36781,0.431941924,5.741,3.113,1.481,5.487,1
146.7422096,10170.6612,0.523593466,5.702,3.212,1.933,5.439,1
127.9036827,10140.2893,0.668784029,5.388,3.377,2.802,5.044,1
143.1067044,10146.07442,0.83938294,5.384,3.412,1.142,5.088,1
158.3097262,10170.6612,0.704174229,5.662,3.419,1.999,5.222,1
50.23607177,10076.65293,0.282214156,5.159,3.032,1.502,4.519,1
27.43153919,10032.54136,0.546279492,5.008,2.85,2.7,4.607,1
21.15203022,10015.90913,0.688747731,4.902,2.879,2.269,4.703,1
58.49858357,10056.405,0.764065336,5.076,3.042,3.22,4.605,1
86.92162417,10103.40913,0.543557169,5.395,3.07,4.157,5.088,1
72.3796034,10083.88434,0.576225045,5.262,3.026,1.176,4.782,1
75.68460812,10078.82235,0.724137931,5.139,3.119,2.352,4.607,1
123.9376771,10141.73558,0.585299456,5.63,3.19,1.313,5.15,1
113.0311615,10135.95045,0.493647913,5.609,3.158,2.217,5.132,1
124.9291785,10143.18186,0.585299456,5.569,3.153,1.464,5.3,1
70.72710104,10096.90087,0.342105263,5.412,2.882,3.533,5.067,1
232.6723324,10258.1612,0.537205082,6.191,3.561,4.076,6.06,2
206.5627951,10235.74384,0.491833031,5.998,3.484,4.675,5.877,2
220.4438149,10240.08269,0.618874773,5.978,3.594,4.539,5.791,2
281.5864023,10278.40913,0.907441016,6.154,3.93,2.936,6.079,2
205.9017941,10224.17359,0.639745917,6.017,3.486,4.004,5.841,2
204.2492918,10232.12814,0.505444646,5.927,3.438,4.92,5.795,2
222.4268178,10253.09921,0.470054446,6.064,3.403,3.824,5.922,2
334.4664778,10348.55376,0.618874773,6.579,3.814,4.451,6.451,2
275.9678942,10295.04136,0.60707804,6.445,3.639,5.064,6.362,2
215.8168083,10227.06616,0.735934664,5.85,3.566,2.858,5.746,2
196.3172805,10211.88021,0.673321234,5.875,3.467,5.532,5.88,2
268.6968839,10273.34715,0.813067151,6.006,3.857,5.324,5.879,2
317.6109537,10323.96698,0.737749546,6.285,3.864,5.173,6.187,2
296.789424,10313.11988,0.633393829,6.384,3.772,1.472,6.273,2
294.8064212,10310.95045,0.63430127,6.366,3.801,2.962,6.185,2
253.8243626,10266.11574,0.715970962,6.173,3.651,2.443,6.197,2
273.9848914,10278.40913,0.805807623,6.084,3.764,1.649,6.109,2
277.2898961,10307.33475,0.461887477,6.549,3.67,3.691,6.498,2
350,10347.10748,0.823956443,6.573,4.033,5.78,6.231,2
340.0849858,10335.53723,0.862068966,6.45,4.032,5.016,6.321,2
314.305949,10331.19839,0.603448276,6.581,3.785,1.955,6.449,2
270.0188857,10274.07029,0.819419238,6.172,3.796,3.12,6.053,2
271.6713881,10280.57855,0.748638838,6.272,3.693,3.237,6.053,2
264.4003777,10263.22318,0.893829401,6.037,3.86,6.001,5.877,2
256.7988669,10297.21078,0.336660617,6.666,3.485,4.933,6.448,2
207.5542965,10234.29756,0.514519056,6.139,3.463,3.696,5.967,2
288.1964117,10302.27277,0.666061706,6.341,3.81,3.477,6.238,2
277.2898961,10300.82649,0.549909256,6.449,3.552,2.144,6.453,2
250.5193579,10278.40913,0.504537205,6.271,3.512,2.853,6.273,2
268.6968839,10284.19426,0.661524501,6.219,3.684,2.188,6.097,2
192.3512748,10205.37194,0.712341198,5.718,3.525,4.217,5.618,2
244.5703494,10249.48351,0.826678766,5.89,3.694,2.068,5.837,2
293.1539188,10295.7645,0.820326679,6.113,3.892,4.308,6.009,2
283.8999056,10305.16533,0.577132486,6.369,3.681,3.357,6.229,2
276.2983947,10289.97938,0.67876588,6.248,3.755,3.368,6.148,2
272.332389,10280.57855,0.75862069,6.037,3.786,2.553,5.879,2
272.99339,10271.90087,0.884754991,6.152,3.806,2.843,6.2,2
232.6723324,10249.48351,0.652450091,6.033,3.573,3.747,5.929,2
309.0179415,10326.1364,0.608892922,6.675,3.763,3.252,6.55,2
263.0783758,10275.51657,0.711433757,6.153,3.674,1.738,5.894,2
259.7733711,10268.28516,0.762250454,6.107,3.769,2.235,5.794,2
290.509915,10311.67359,0.576225045,6.303,3.791,3.678,5.965,2
282.2474032,10282.02483,0.86569873,6.183,3.902,2.109,5.924,2
282.5779037,10303.71905,0.581669691,6.259,3.737,6.682,6.053,2
343.0594901,10350.00004,0.705989111,6.563,3.991,4.677,6.316,2
279.9338999,10292.1488,0.701451906,6.416,3.719,2.248,6.163,2
276.6288952,10274.07029,0.903811252,6.051,3.897,4.334,5.75,2
282.9084042,10292.1488,0.734119782,6.245,3.815,3.084,6.185,2
274.3153919,10276.23971,0.841197822,6.227,3.769,3.639,5.966,2
311.9924457,10324.69012,0.662431942,6.493,3.857,3.063,6.32,2
318.9329556,10325.41326,0.740471869,6.315,3.962,5.901,6.188,2
249.5278565,10268.28516,0.627041742,6.059,3.563,3.619,6.011,2
184.4192635,10214.77277,0.460072595,5.762,3.387,4.286,5.703,2
259.1123702,10257.43806,0.903811252,5.98,3.771,2.984,5.905,2
178.470255,10179.33888,0.892014519,5.363,3.582,3.336,5.144,2
269.6883853,10272.62401,0.833030853,6.111,3.869,4.188,5.992,2
266.3833805,10289.25624,0.559891107,6.285,3.594,4.391,6.102,2
244.2398489,10248.76037,0.827586207,5.979,3.687,2.257,5.919,2
316.2889518,10334.09095,0.593466425,6.513,3.773,1.91,6.185,2
230.0283286,10235.0207,0.825771325,5.791,3.69,5.366,5.661,2
254.815864,10251.65293,0.931941924,5.979,3.755,2.837,5.962,2
275.9678942,10282.74797,0.781306715,6.144,3.825,2.908,5.949,2
158.3097262,10180.06202,0.567150635,5.884,3.268,4.462,5.795,2
184.088763,10211.15707,0.510889292,5.845,3.395,4.266,5.795,2
164.2587347,10179.33888,0.673321234,5.776,3.408,4.972,5.847,2
158.3097262,10162.70665,0.824863884,5.477,3.465,3.6,5.439,2
223.7488196,10242.25211,0.638838475,6.145,3.574,3.526,5.971,2
164.5892351,10198.14054,0.404718693,5.92,3.231,2.64,5.879,2
165.5807365,10195.24797,0.452813067,5.832,3.286,2.725,5.752,2
186.4022663,10200.30996,0.697822142,5.872,3.472,3.769,5.922,2
81.96411709,10109.19426,0.362068966,5.472,2.994,5.304,5.395,3
90.2266289,10110.64054,0.482758621,5.541,3.073,7.035,5.44,3
90.88762984,10111.36368,0.489110708,5.389,3.074,5.995,5.307,3
53.87157696,10065.80583,0.51814882,5.224,2.967,5.469,5.221,3
40.65155807,10071.59095,0.175136116,5.314,2.777,4.471,5.178,3
20.49102927,10052.06616,0.078039927,5.279,2.687,6.169,5.275,3
27.76203966,10052.06616,0.230490018,5.176,2.719,2.221,5.132,3
62.79508971,10075.92979,0.523593466,5.267,2.967,4.421,5.002,3
69.73559962,10094.0083,0.372050817,5.386,2.911,3.26,5.316,3
6.610009443,10037.60335,0.023593466,5.317,2.648,5.462,5.194,3
40.98205855,10059.29756,0.376588022,5.263,2.84,5.195,5.307,3
46.93106704,10080.26864,0.152450091,5.405,2.776,6.992,5.27,3
55.19357885,10086.05376,0.228675136,5.408,2.833,4.756,5.36,3
19.49952786,10045.55789,0.167876588,5.22,2.693,3.332,5.001,3
25.44853636,10046.28103,0.273139746,5.175,2.755,4.048,5.263,3
19.83002833,10046.28103,0.156079855,5.25,2.675,5.813,5.219,3
24.78753541,10033.2645,0.467332123,5.053,2.849,3.347,5.003,3
50.89707271,10095.45459,0,5.394,2.745,4.825,5.22,3
38.33805477,10080.26864,0.000907441,5.444,2.678,4.378,5.31,3
29.74504249,10058.57442,0.165154265,5.304,2.695,5.388,5.31,3
64.44759207,10091.11574,0.31215971,5.451,2.879,3.082,5.491,3
47.26156752,10066.52897,0.382940109,5.35,2.81,4.271,5.308,3
48.25306893,10072.31409,0.30399274,5.267,2.847,4.988,5.046,3
64.77809254,10083.88434,0.432849365,5.333,2.968,4.419,5.176,3
18.17752597,10027.47938,0.432849365,5.011,2.794,6.388,5.049,3
49.90557129,10053.51244,0.646098004,5.105,2.941,2.201,5.056,3
61.14258735,10085.33062,0.345735027,5.319,2.897,4.924,5.27,3
51.55807365,10075.20665,0.328493648,5.417,2.837,3.638,5.338,3
25.11803588,10051.34302,0.190562613,5.176,2.668,4.337,5.132,3
21.48253069,10042.66533,0.252268603,5.09,2.715,3.521,5.088,3
14.2115203,10042.66533,0.09800363,5.325,2.701,6.735,5.163,3
31.72804533,10049.89673,0.33938294,5.167,2.845,6.715,4.956,3
22.47403211,10040.49591,0.306715064,5.088,2.763,4.309,5,3
26.77053824,10048.45045,0.266787659,5.136,2.763,5.588,5.089,3
7.932011331,10039.77277,0.016333938,5.278,2.641,5.182,5.185,3
6.940509915,10011.57029,0.461887477,4.981,2.821,4.773,5.063,3
22.14353163,10043.38847,0.248638838,5.186,2.71,5.335,5.092,3
4.957507082,10023.14054,0.225045372,5.145,2.642,4.702,4.963,3
29.41454202,10046.28103,0.355716878,5.18,2.758,5.876,5.002,3
53.54107649,10076.65293,0.337568058,5.357,2.893,1.661,5.178,3
27.10103872,10039.04963,0.434664247,5.09,2.775,4.957,4.825,3
61.80358829,10072.31409,0.567150635,5.236,3.017,4.987,5.147,3
52.88007554,10068.69839,0.451905626,5.24,2.909,4.857,5.158,3
35.03305005,10047.72731,0.448275862,5.108,2.85,5.209,5.135,3
76.01510859,10098.34715,0.417422868,5.495,3.026,6.185,5.316,3
32.0585458,10065.08269,0.106170599,5.363,2.683,4.062,5.182,3
40.3210576,10075.20665,0.106170599,5.413,2.716,4.898,5.352,3
10.57601511,10028.20252,0.264065336,5.088,2.675,4.179,4.956,3
21.15203022,10029.6488,0.465517241,5.089,2.821,7.524,4.957,3
0,10000.00004,0.514519056,4.899,2.787,4.975,4.794,3
11.23701605,10028.20252,0.280399274,5.046,2.717,5.398,5.045,3
22.47403211,10032.54136,0.43738657,5.091,2.804,3.985,5.001,3
42.30406043,10044.11161,0.647912886,5.132,2.953,3.597,5.132,3
7.601510859,10030.37194,0.158802178,5.18,2.63,4.853,5.089,3
50.23607177,10062.19012,0.506352087,5.236,2.975,4.132,5.012,3
73.04060434,10076.65293,0.706896552,5.16,3.126,4.873,4.914,3
72.71010387,10080.99178,0.639745917,5.224,3.054,5.483,4.958,3
91.87913126,10099.07029,0.696914701,5.32,3.128,4.67,5.091,3
67.09159585,10091.11574,0.362976407,5.41,2.911,3.306,5.231,3
71.71860246,10070.14467,0.801270417,5.073,3.155,2.828,4.83,3
59.15958451,10074.48351,0.479128857,5.219,2.989,5.472,5.045,3
68.74409821,10065.80583,0.813067151,4.984,3.135,2.3,4.745,3
19.49952786,10022.4174,0.543557169,5.009,2.81,4.051,4.828,3
69.73559962,10072.31409,0.719600726,5.183,3.091,8.456,5,3
58.82908404,10076.65293,0.441016334,5.204,2.96,3.919,5.001,3
52.88007554,10057.12814,0.637023593,5.137,2.981,3.631,4.87,3
21.15203022,10033.98764,0.390199637,5.14,2.795,4.325,5.003,3
86.26062323,10090.3926,0.727767695,5.236,3.232,8.315,5.056,3
41.31255902,10057.85128,0.399274047,5.175,2.836,3.598,5.044,3
56.51558074,10067.25211,0.547186933,5.243,2.974,5.637,5.063,3
,,,,,,,
,,,,,,,
,,,,2.63,,,
,,,,4.033,,,
